22
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 18 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 19 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 20 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 21 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 22 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 23 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 24 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 25 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 26 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 27 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 28 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 29 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 30 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 31 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 32 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 33 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 34 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 35 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 36 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 37 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 38 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 39 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 40 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 41 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 42 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 43 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 44 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 45 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 46 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 47 => 0.0
# of feats=8 Fitness=0.0
[0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]
Gen 48 => 0.0
